utc,sun_az,sun_el,earth_az,earth_el
2000-02-01T00:00:00,208.0930,-4.1833,337.8879,9.0005
2000-02-01T01:00:00,207.5844,-4.2032,337.8313,8.9549
2000-02-01T02:00:00,207.0759,-4.2227,337.7747,8.9089
2000-02-01T03:00:00,206.5672,-4.2418,337.7181,8.8626
2000-02-01T04:00:00,206.0586,-4.2606,337.6615,8.8159
2000-02-01T05:00:00,205.5499,-4.2790,337.6049,8.7689
2000-02-01T06:00:00,205.0412,-4.2971,337.5484,8.7216
2000-02-01T07:00:00,204.5325,-4.3148,337.4918,8.6739
2000-02-01T08:00:00,204.0237,-4.3322,337.4353,8.6259
2000-02-01T09:00:00,203.5149,-4.3492,337.3789,8.5776
2000-02-01T10:00:00,203.0061,-4.3658,337.3224,8.5290
2000-02-01T11:00:00,202.4972,-4.3821,337.2661,8.4801
2000-02-01T12:00:00,201.9883,-4.3981,337.2097,8.4308
2000-02-01T13:00:00,201.4794,-4.4136,337.1534,8.3812
2000-02-01T14:00:00,200.9704,-4.4288,337.0972,8.3314
2000-02-01T15:00:00,200.4614,-4.4436,337.0411,8.2812
2000-02-01T16:00:00,199.9524,-4.4581,336.9850,8.2307
2000-02-01T17:00:00,199.4434,-4.4722,336.9289,8.1800
2000-02-01T18:00:00,198.9343,-4.4859,336.8730,8.1289
2000-02-01T19:00:00,198.4252,-4.4993,336.8171,8.0775
2000-02-01T20:00:00,197.9161,-4.5122,336.7613,8.0259
2000-02-01T21:00:00,197.4070,-4.5248,336.7056,7.9740
2000-02-01T22:00:00,196.8978,-4.5371,336.6500,7.9218
2000-02-01T23:00:00,196.3886,-4.5489,336.5945,7.8693
2000-02-02T00:00:00,195.8794,-4.5604,336.5391,7.8166
2000-02-02T01:00:00,195.3701,-4.5715,336.4838,7.7635
2000-02-02T02:00:00,194.8609,-4.5822,336.4286,7.7102
2000-02-02T03:00:00,194.3516,-4.5925,336.3735,7.6567
2000-02-02T04:00:00,193.8422,-4.6025,336.3185,7.6029
2000-02-02T05:00:00,193.3329,-4.6120,336.2637,7.5488
2000-02-02T06:00:00,192.8236,-4.6212,336.2089,7.4945
2000-02-02T07:00:00,192.3142,-4.6300,336.1543,7.4399
2000-02-02T08:00:00,191.8048,-4.6384,336.0999,7.3851
2000-02-02T09:00:00,191.2954,-4.6465,336.0455,7.3301
2000-02-02T10:00:00,190.7860,-4.6541,335.9914,7.2748
2000-02-02T11:00:00,190.2765,-4.6614,335.9373,7.2192
2000-02-02T12:00:00,189.7670,-4.6683,335.8834,7.1635
2000-02-02T13:00:00,189.2576,-4.6747,335.8296,7.1075
2000-02-02T14:00:00,188.7481,-4.6808,335.7761,7.0513
2000-02-02T15:00:00,188.2385,-4.6865,335.7226,6.9948
2000-02-02T16:00:00,187.7290,-4.6919,335.6693,6.9382
2000-02-02T17:00:00,187.2195,-4.6968,335.6162,6.8813
2000-02-02T18:00:00,186.7099,-4.7013,335.5633,6.8242
2000-02-02T19:00:00,186.2004,-4.7055,335.5105,6.7670
2000-02-02T20:00:00,185.6908,-4.7092,335.4579,6.7095
2000-02-02T21:00:00,185.1812,-4.7126,335.4055,6.6518
2000-02-02T22:00:00,184.6716,-4.7155,335.3533,6.5939
2000-02-02T23:00:00,184.1620,-4.7181,335.3013,6.5359
2000-02-03T00:00:00,183.6524,-4.7203,335.2494,6.4776
2000-02-03T01:00:00,183.1427,-4.7221,335.1977,6.4192
2000-02-03T02:00:00,182.6331,-4.7235,335.1463,6.3606
2000-02-03T03:00:00,182.1235,-4.7245,335.0950,6.3018
2000-02-03T04:00:00,181.6138,-4.7251,335.0440,6.2428
2000-02-03T05:00:00,181.1042,-4.7253,334.9931,6.1837
2000-02-03T06:00:00,180.5945,-4.7251,334.9425,6.1244
2000-02-03T07:00:00,180.0849,-4.7245,334.8921,6.0650
2000-02-03T08:00:00,179.5752,-4.7235,334.8419,6.0054
2000-02-03T09:00:00,179.0655,-4.7222,334.7919,5.9456
2000-02-03T10:00:00,178.5558,-4.7204,334.7421,5.8857
2000-02-03T11:00:00,178.0462,-4.7183,334.6926,5.8257
2000-02-03T12:00:00,177.5365,-4.7157,334.6433,5.7655
2000-02-03T13:00:00,177.0268,-4.7128,334.5942,5.7052
2000-02-03T14:00:00,176.5171,-4.7094,334.5454,5.6448
2000-02-03T15:00:00,176.0075,-4.7057,334.4968,5.5842
2000-02-03T16:00:00,175.4978,-4.7015,334.4484,5.5235
2000-02-03T17:00:00,174.9881,-4.6970,334.4003,5.4627
2000-02-03T18:00:00,174.4785,-4.6921,334.3524,5.4018
2000-02-03T19:00:00,173.9688,-4.6868,334.3048,5.3408
2000-02-03T20:00:00,173.4591,-4.6811,334.2574,5.2796
2000-02-03T21:00:00,172.9495,-4.6750,334.2103,5.2184
2000-02-03T22:00:00,172.4398,-4.6685,334.1635,5.1571
2000-02-03T23:00:00,171.9302,-4.6616,334.1169,5.0957
2000-02-04T00:00:00,171.4206,-4.6544,334.0706,5.0342
2000-02-04T01:00:00,170.9109,-4.6467,334.0245,4.9726
2000-02-04T02:00:00,170.4013,-4.6387,333.9787,4.9109
2000-02-04T03:00:00,169.8917,-4.6302,333.9332,4.8492
2000-02-04T04:00:00,169.3821,-4.6214,333.8880,4.7874
2000-02-04T05:00:00,168.8725,-4.6122,333.8430,4.7255
2000-02-04T06:00:00,168.3629,-4.6026,333.7983,4.6636
2000-02-04T07:00:00,167.8534,-4.5926,333.7539,4.6016
2000-02-04T08:00:00,167.3438,-4.5822,333.7098,4.5396
