utc,sun_az,sun_el,earth_az,earth_el
2000-02-01T00:00:00,270.7686,-61.9860,256.2195,67.4144
2000-02-01T01:00:00,270.7858,-62.4935,256.3645,67.3681
2000-02-01T02:00:00,270.8036,-63.0010,256.5097,67.3218
2000-02-01T03:00:00,270.8220,-63.5085,256.6552,67.2754
2000-02-01T04:00:00,270.8410,-64.0161,256.8009,67.2289
2000-02-01T05:00:00,270.8607,-64.5236,256.9470,67.1823
2000-02-01T06:00:00,270.8810,-65.0311,257.0933,67.1356
2000-02-01T07:00:00,270.9022,-65.5386,257.2398,67.0889
2000-02-01T08:00:00,270.9241,-66.0462,257.3865,67.0421
2000-02-01T09:00:00,270.9468,-66.5537,257.5335,66.9953
2000-02-01T10:00:00,270.9705,-67.0613,257.6807,66.9484
2000-02-01T11:00:00,270.9951,-67.5688,257.8280,66.9014
2000-02-01T12:00:00,271.0208,-68.0764,257.9756,66.8544
2000-02-01T13:00:00,271.0476,-68.5839,258.1233,66.8074
2000-02-01T14:00:00,271.0755,-69.0915,258.2712,66.7603
2000-02-01T15:00:00,271.1047,-69.5991,258.4192,66.7131
2000-02-01T16:00:00,271.1353,-70.1066,258.5674,66.6659
2000-02-01T17:00:00,271.1674,-70.6142,258.7157,66.6187
2000-02-01T18:00:00,271.2010,-71.1218,258.8641,66.5714
2000-02-01T19:00:00,271.2364,-71.6294,259.0126,66.5241
2000-02-01T20:00:00,271.2737,-72.1369,259.1613,66.4767
2000-02-01T21:00:00,271.3130,-72.6445,259.3100,66.4294
2000-02-01T22:00:00,271.3546,-73.1521,259.4588,66.3819
2000-02-01T23:00:00,271.3985,-73.6597,259.6077,66.3345
2000-02-02T00:00:00,271.4452,-74.1672,259.7567,66.2871
2000-02-02T01:00:00,271.4948,-74.6748,259.9057,66.2396
2000-02-02T02:00:00,271.5476,-75.1824,260.0548,66.1921
2000-02-02T03:00:00,271.6040,-75.6899,260.2038,66.1446
2000-02-02T04:00:00,271.6643,-76.1975,260.3530,66.0971
2000-02-02T05:00:00,271.7291,-76.7050,260.5021,66.0496
2000-02-02T06:00:00,271.7989,-77.2126,260.6513,66.0020
2000-02-02T07:00:00,271.8742,-77.7201,260.8004,65.9545
2000-02-02T08:00:00,271.9558,-78.2276,260.9496,65.9070
2000-02-02T09:00:00,272.0446,-78.7351,261.0987,65.8594
2000-02-02T10:00:00,272.1415,-79.2426,261.2478,65.8119
2000-02-02T11:00:00,272.2478,-79.7500,261.3969,65.7644
2000-02-02T12:00:00,272.3649,-80.2574,261.5460,65.7169
2000-02-02T13:00:00,272.4946,-80.7648,261.6950,65.6694
2000-02-02T14:00:00,272.6391,-81.2721,261.8439,65.6219
2000-02-02T15:00:00,272.8011,-81.7794,261.9928,65.5744
2000-02-02T16:00:00,272.9842,-82.2866,262.1416,65.5270
2000-02-02T17:00:00,273.1927,-82.7937,262.2903,65.4796
2000-02-02T18:00:00,273.4324,-83.3008,262.4390,65.4322
2000-02-02T19:00:00,273.7109,-83.8076,262.5875,65.3848
2000-02-02T20:00:00,274.0387,-84.3144,262.7360,65.3375
2000-02-02T21:00:00,274.4302,-84.8209,262.8843,65.2902
2000-02-02T22:00:00,274.9059,-85.3271,263.0326,65.2430
2000-02-02T23:00:00,275.4967,-85.8330,263.1807,65.1957
2000-02-03T00:00:00,276.2500,-86.3383,263.3287,65.1486
2000-02-03T01:00:00,277.2434,-86.8427,263.4765,65.1015
2000-02-03T02:00:00,278.6131,-87.3459,263.6242,65.0544
2000-02-03T03:00:00,280.6208,-87.8469,263.7717,65.0074
2000-02-03T04:00:00,283.8373,-88.3436,263.9191,64.9604
2000-02-03T05:00:00,289.7655,-88.8307,264.0663,64.9135
2000-02-03T06:00:00,303.6673,-89.2881,264.2134,64.8667
2000-02-03T07:00:00,347.8818,-89.5972,264.3602,64.8199
2000-02-03T08:00:00,47.1316,-89.4224,264.5069,64.7732
2000-02-03T09:00:00,67.1688,-88.9895,264.6534,64.7266
2000-02-03T10:00:00,74.7961,-88.5085,264.7997,64.6800
2000-02-03T11:00:00,78.6699,-88.0141,264.9458,64.6336
2000-02-03T12:00:00,80.9940,-87.5142,265.0917,64.5872
2000-02-03T13:00:00,82.5390,-87.0116,265.2373,64.5408
2000-02-03T14:00:00,83.6393,-86.5074,265.3828,64.4946
2000-02-03T15:00:00,84.4625,-86.0023,265.5280,64.4485
2000-02-03T16:00:00,85.1014,-85.4965,265.6729,64.4024
2000-02-03T17:00:00,85.6117,-84.9903,265.8177,64.3565
2000-02-03T18:00:00,86.0289,-84.4838,265.9621,64.3106
2000-02-03T19:00:00,86.3762,-83.9770,266.1063,64.2648
2000-02-03T20:00:00,86.6700,-83.4701,266.2503,64.2192
2000-02-03T21:00:00,86.9219,-82.9629,266.3940,64.1736
2000-02-03T22:00:00,87.1402,-82.4557,266.5374,64.1282
2000-02-03T23:00:00,87.3313,-81.9484,266.6805,64.0829
2000-02-04T00:00:00,87.5001,-81.4410,266.8234,64.0376
2000-02-04T01:00:00,87.6503,-80.9335,266.9659,63.9925
2000-02-04T02:00:00,87.7848,-80.4259,267.1082,63.9476
2000-02-04T03:00:00,87.9060,-79.9183,267.2501,63.9027
2000-02-04T04:00:00,88.0159,-79.4107,267.3918,63.8580
2000-02-04T05:00:00,88.1159,-78.9030,267.5331,63.8134
2000-02-04T06:00:00,88.2074,-78.3953,267.6741,63.7689
2000-02-04T07:00:00,88.2915,-77.8876,267.8148,63.7246
2000-02-04T08:00:00,88.3690,-77.3799,267.9551,63.6804
2000-02-04T09:00:00,88.4407,-76.8721,268.0951,63.6364
2000-02-04T10:00:00,88.5073,-76.3643,268.2348,63.5925
2000-02-04T11:00:00,88.5692,-75.8565,268.3741,63.5488
2000-02-04T12:00:00,88.6271,-75.3486,268.5131,63.5052
2000-02-04T13:00:00,88.6813,-74.8408,268.6517,63.4617
2000-02-04T14:00:00,88.7321,-74.3329,268.7899,63.4184
2000-02-04T15:00:00,88.7799,-73.8251,268.9278,63.3753
2000-02-04T16:00:00,88.8249,-73.3172,269.0652,63.3323
2000-02-04T17:00:00,88.8675,-72.8093,269.2023,63.2896
2000-02-04T18:00:00,88.9077,-72.3014,269.3391,63.2469
2000-02-04T19:00:00,88.9459,-71.7935,269.4754,63.2045
2000-02-04T20:00:00,88.9821,-71.2855,269.6113,63.1622
2000-02-04T21:00:00,89.0166,-70.7776,269.7468,63.1201
2000-02-04T22:00:00,89.0494,-70.2697,269.8819,63.0782
2000-02-04T23:00:00,89.0808,-69.7617,270.0166,63.0364
2000-02-05T00:00:00,89.1107,-69.2538,270.1509,62.9949
2000-02-05T01:00:00,89.1393,-68.7458,270.2847,62.9535
2000-02-05T02:00:00,89.1667,-68.2378,270.4182,62.9124
2000-02-05T03:00:00,89.1930,-67.7299,270.5511,62.8714
2000-02-05T04:00:00,89.2183,-67.2219,270.6837,62.8307
2000-02-05T05:00:00,89.2426,-66.7139,270.8158,62.7901
2000-02-05T06:00:00,89.2659,-66.2059,270.9474,62.7497
2000-02-05T07:00:00,89.2884,-65.6979,271.0786,62.7096
